hawker_name,latitude,longitude,no_of_food_stalls,status,address,est_completion,description,no_of_mkt_produce_stalls,total_stalls,nearest_mrt_km,nearest_mrt_station,accessibility_score,mrt_walkable,region,size_category,popularity_score
Empress Road Blk 7 (Empress Road Market and Food Centre),1.3162405292821697,103.80563670047233,40,Existing,"Blk 7, Empress Road, Singapore 260007",26/3/1976,HUP Standard Upgrading,0,40,0.288,Farrer Road,8.7,True,Central,Medium (20-40),9.8
Golden Mile Food Centre,1.303141753061011,103.863877615715,112,Existing,"505, Beach Road, Singapore 199583",1975,HUP Standard Upgrading,0,112,0.383,Nicoll Highway,8.3,True,Central,Mega (80+),10.0
Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),1.321463110363858,103.87000501449864,78,Existing,"Blk 69, Geylang Bahru, Singapore 330069",16/1/1974,Opted out of HUP,0,78,0.18,Geylang Bahru,9.2,True,North-East,Large (40-80),10.0
Jurong West Street 52 Blk 505,1.3496572915944292,103.7184436782123,60,Existing,"Blk 505, Jurong West Street 52, Singapore 640505",16/1/1985,HUP Standard Upgrading,0,60,0.673,Lakeside,7.0,False,West,Large (40-80),10.0
Mei Chin Road Blk 159 (Mei Chin Road Market),1.2932362444197107,103.80290387146337,47,Existing,"Blk 159, Mei Chin Road, Singapore 140159",12/10/1970,HUP Reconfiguration,0,47,0.371,Queenstown,8.3,True,Central,Large (40-80),10.0
Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),1.3671965379048148,103.8400222235967,29,Existing,"Blk 226H, Ang Mo Kio Street 22, Singapore 568226",30/9/1976,HUP Reconfiguration,0,29,0.709,Bright Hill,6.8,False,Central,Medium (20-40),7.3
Dunman Food Centre,1.3094178879625105,103.9018254078894,30,Existing,"271, Onan Road, Singapore 424768",1974,HUP Standard Upgrading,0,30,0.856,Marine Parade,6.1,False,North-East,Medium (20-40),7.1
Ghim Moh Road Blk 20,1.3109966321422568,103.78823030670418,72,Existing,"Blk 20, Ghim Moh Road, Singapore 270020",24/1/1977,Opted out of HUP,0,72,0.461,Buona Vista,7.9,True,Central,Large (40-80),10.0
Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),1.3745277374668692,103.83917606128082,40,Existing,"Blk 160/162, Ang Mo Kio Ave 4, Singapore 560160/560162",30/6/1981,HUP Standard Upgrading,0,40,0.066,Mayflower,9.7,True,Central,Medium (20-40),9.7
Bukit Panjang Hawker Centre,1.3775974234205033,103.7724915268977,28,Existing (new),"2 Bukit Panjang Ring Road, Singapore 679947",31/7/2015,New Centre,0,28,0.43,Bukit Panjang,8.1,True,West,Medium (20-40),7.3
Beo Crescent Market,1.2888308915646167,103.8273538919747,32,Existing,"38A, Beo Crescent, Singapore 169982",1965,HUP Standard Upgrading,0,32,0.284,Tiong Bahru,8.7,True,Central,Medium (20-40),9.1
Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),1.2879705166198658,103.8296234138997,30,Existing,"Blk 22A/B, Havelock Road, Singapore 161022/162022",16/11/1969,HUP Standard Upgrading,0,30,0.346,Tiong Bahru,8.4,True,Central,Medium (20-40),8.3
Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),1.335382613078359,103.85700370906183,61,Existing,"Blk 22, Lorong 7 Toa Payoh, Singapore 310022",2/3/1970,HUP Reconfiguration,0,61,1.146,Toa Payoh,4.8,False,Central,Large (40-80),9.6
Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.3453734735523084,103.94462942285355,45,Existing,"Blk 137, Tampines Street 11, Singapore 521137",30/11/1982,HUP Reconfiguration,0,45,0.737,Tampines West,6.7,False,East,Large (40-80),8.4
Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),1.366800962194856,103.83915227449918,10,Existing,"Blk 226D, Ang Mo Kio Ave 1, Singapore 564226",13/10/1976,HUP Standard Upgrading,0,10,0.612,Bright Hill,7.2,False,Central,Small (<20),5.4
Smith Street Blk 335 (Chinatown Complex Market),1.2822749608841026,103.84323851850745,226,Existing,"Blk 335, Smith Street, Singapore 050335",31/5/1983,HUP Reconfiguration,0,226,0.289,Chinatown,8.7,True,Central,Mega (80+),10.0
Buangkok Hawker Centre,1.3829816322433666,103.89272100789816,38,Existing (new),,15/2/2023,New Centre,0,38,0.024,Buangkok,9.9,True,North,Medium (20-40),9.5
Sims Place Blk 49 (Sims Vista Market and Food Centre),1.3170350238501258,103.87930985514092,66,Existing,"Blk 49, Sims Place, Singapore 380049",20/9/1976,HUP Reconfiguration,0,66,0.418,Aljunied,8.1,True,North-East,Large (40-80),10.0
Bedok North Street 1 Blk 216,1.3270627418405785,103.93321797031916,82,Existing,"Blk 216, Bedok North Street 1, Singapore 460216",21/8/1979,HUP Standard Upgrading,0,82,0.494,Bedok,7.8,True,East,Mega (80+),10.0
Newton Food Centre,1.3119155203922301,103.83956972873328,83,Existing,"500, Clemenceau Ave North, Singapore 229495",1971,HUP Standard Upgrading,0,83,0.156,Newton,9.3,True,Central,Mega (80+),10.0
